"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2026-09-22T05:45:04.814+09:00"
"RESULT_INF"
"TOTAL_NUMBER","600"
"FROM_NUMBER","1"
"TO_NUMBER","600"
"TABLE_INF","0003060791"
"STAT_NAME","00350600","法人企業統計調査"
"GOV_ORG","00350","財務省"
"STATISTICS_NAME","法人企業統計調査 時系列データ"
"TITLE","1","時系列データ 金融業、保険業以外の業種(原数値)"
"CYCLE","年度次"
"SURVEY_DATE","202504-202603"
"OPEN_DATE","2026-09-01"
"SMALL_AREA","0"
"COLLECT_AREA","該当なし"
"MAIN_CATEGORY","07","企業・家計・経済"
"SUB_CATEGORY","01","企業活動"
"OVERALL_TOTAL_NUMBER","7479609"
"UPDATED_DATE","2026-09-01"
"STATISTICS_NAME_SPEC","法人企業統計調査","時系列データ","","","",""
"TITLE_SPEC","時系列データ","金融業、保険業以外の業種(原数値)","","","",""
"NOTE","*","計算結果が値を持たない項目"
"VALUE"
"cat01_code","調査項目 (金融業、保険業以外の業種)","cat02_code","業種 (金融業、保険業以外の業種)","cat03_code","規模 (金融業、保険業以外の業種)","time_code","年  期","unit","value","annotation"
"045","売上高(当期末)","104","全産業（除く金融保険業）","16","1千万円未満","20220","2022年度","百万円","145478742",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","16","1千万円未満","20230","2023年度","百万円","162617735",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","16","1千万円未満","20240","2024年度","百万円","169607414",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","16","1千万円未満","20250","2025年度","百万円","172139880",""
"045","売上高(当期末)","108","製造業","26","全規模","20160","2016年度","百万円","395561444",""
"045","売上高(当期末)","108","製造業","26","全規模","20170","2017年度","百万円","406259788",""
"045","売上高(当期末)","108","製造業","26","全規模","20180","2018年度","百万円","414269775",""
"045","売上高(当期末)","108","製造業","26","全規模","20190","2019年度","百万円","398499697",""
"045","売上高(当期末)","108","製造業","26","全規模","20200","2020年度","百万円","365094778",""
"045","売上高(当期末)","108","製造業","26","全規模","20210","2021年度","百万円","401773979",""
"045","売上高(当期末)","108","製造業","26","全規模","20220","2022年度","百万円","436341951",""
"045","売上高(当期末)","108","製造業","26","全規模","20230","2023年度","百万円","447532360",""
"045","売上高(当期末)","108","製造業","26","全規模","20240","2024年度","百万円","467795156",""
