"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2026-09-22T05:45:04.814+09:00"
"RESULT_INF"
"TOTAL_NUMBER","600"
"FROM_NUMBER","1"
"TO_NUMBER","600"
"TABLE_INF","0003060791"
"STAT_NAME","00350600","法人企業統計調査"
"GOV_ORG","00350","財務省"
"STATISTICS_NAME","法人企業統計調査 時系列データ"
"TITLE","1","時系列データ 金融業、保険業以外の業種(原数値)"
"CYCLE","年度次"
"SURVEY_DATE","202504-202603"
"OPEN_DATE","2026-09-01"
"SMALL_AREA","0"
"COLLECT_AREA","該当なし"
"MAIN_CATEGORY","07","企業・家計・経済"
"SUB_CATEGORY","01","企業活動"
"OVERALL_TOTAL_NUMBER","7479609"
"UPDATED_DATE","2026-09-01"
"STATISTICS_NAME_SPEC","法人企業統計調査","時系列データ","","","",""
"TITLE_SPEC","時系列データ","金融業、保険業以外の業種(原数値)","","","",""
"NOTE","*","計算結果が値を持たない項目"
"VALUE"
"cat01_code","調査項目 (金融業、保険業以外の業種)","cat02_code","業種 (金融業、保険業以外の業種)","cat03_code","規模 (金融業、保険業以外の業種)","time_code","年  期","unit","value","annotation"
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20200","2020年度","百万円","81017820",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20210","2021年度","百万円","86562142",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20220","2022年度","百万円","95513593",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20230","2023年度","百万円","97208392",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20240","2024年度","百万円","104048794",""
"045","売上高(当期末)","108","製造業","19","1千万円以上 - 1億円未満","20250","2025年度","百万円","106892716",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20160","2016年度","百万円","12488919",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20170","2017年度","百万円","12840016",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20180","2018年度","百万円","12779737",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20190","2019年度","百万円","11763916",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20200","2020年度","百万円","10444109",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20210","2021年度","百万円","11003324",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20220","2022年度","百万円","12064114",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20230","2023年度","百万円","12374585",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20240","2024年度","百万円","12287217",""
"045","売上高(当期末)","108","製造業","16","1千万円未満","20250","2025年度","百万円","14533882",""
"045","売上高(当期末)","144","非製造業","26","全規模","20160","2016年度","百万円","1060194857",""
"045","売上高(当期末)","144","非製造業","26","全規模","20170","2017年度","百万円","1137883020",""
"045","売上高(当期末)","144","非製造業","26","全規模","20180","2018年度","百万円","1120941649",""
"045","売上高(当期末)","144","非製造業","26","全規模","20190","2019年度","百万円","1083398890",""
"045","売上高(当期末)","144","非製造業","26","全規模","20200","2020年度","百万円","997374831",""
"045","売上高(当期末)","144","非製造業","26","全規模","20210","2021年度","百万円","1046113809",""
"045","売上高(当期末)","144","非製造業","26","全規模","20220","2022年度","百万円","1142097695",""
"045","売上高(当期末)","144","非製造業","26","全規模","20230","2023年度","百万円","1185799027",""
"045","売上高(当期末)","144","非製造業","26","全規模","20240","2024年度","百万円","1224606630",""
"045","売上高(当期末)","144","非製造業","26","全規模","20250","2025年度","百万円","1243242958",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20160","2016年度","百万円","317401148",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20170","2017年度","百万円","337881001",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20180","2018年度","百万円","352027760",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20190","2019年度","百万円","333799687",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20200","2020年度","百万円","302301940",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20210","2021年度","百万円","312647284",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20220","2022年度","百万円","345931799",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20230","2023年度","百万円","342205751",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20240","2024年度","百万円","354166675",""
"045","売上高(当期末)","144","非製造業","25","10億円以上","20250","2025年度","百万円","355479348",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20160","2016年度","百万円","203526585",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20170","2017年度","百万円","221017418",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20180","2018年度","百万円","229945141",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20190","2019年度","百万円","226301989",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20200","2020年度","百万円","201312644",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20210","2021年度","百万円","209335234",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20220","2022年度","百万円","225262713",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20230","2023年度","百万円","250160306",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20240","2024年度","百万円","261810212",""
"045","売上高(当期末)","144","非製造業","24","1億円以上 - 10億円未満","20250","2025年度","百万円","263010526",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20160","2016年度","百万円","430202859",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20170","2017年度","百万円","452732421",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20180","2018年度","百万円","418063436",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20190","2019年度","百万円","407029228",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20200","2020年度","百万円","382981401",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20210","2021年度","百万円","409424785",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20220","2022年度","百万円","437488555",""
